logFC	AveExpr	t	P.Value	adj.P.Val	B	Gene
1.86580458506102	2.44790273189425	6.54638968068044	1.54423048804408e-07	0.00121515819664308	7.19088935050386	EML1
-1.73025165826488	6.15941654253404	-6.48522957681604	1.85441651034475e-07	0.00121515819664308	7.02589141471498	ITGA6
2.82362756480434	3.29588283191411	6.33962648150303	2.86987587976858e-07	0.00121515819664308	6.63178956150114	NR1H4
2.33584781153139	2.76935548255715	6.32596956713421	2.99005461772412e-07	0.00121515819664308	6.59473620695386	RERG
1.75801572954868	1.68126045803419	6.22352556036109	4.06871010218852e-07	0.00132281902842353	6.3163406705712	TRABD2B
3.36385809467603	4.42164593407535	6.09188974225333	6.04882157924129e-07	0.00144979501888044	5.95754170985257	LIMCH1
2.01541229385546	2.34767973774267	6.02710004128925	7.35436656622854e-07	0.00144979501888044	5.78054788468036	SHISA4
1.83810168002117	2.75658618038579	6.0122435352949	7.69159739225749e-07	0.00144979501888044	5.7399288621318	EPOR
2.5832764763407	4.11480250499908	5.99811599553167	8.02667025708904e-07	0.00144979501888044	5.70129173580085	UNC5CL
2.68343802589404	3.69786410702874	5.85408158660132	1.24018825528764e-06	0.00201605002779559	5.30680737005462	PTPRS
1.71337115492552	1.74390380528912	5.74043931945646	1.74870042549774e-06	0.00258426128335375	4.99494434223318	KCNIP3
1.21209065990695	1.69700217785042	5.63547380787796	2.40224002222884e-06	0.003254234483446	4.70653210036911	PPP1R3F
2.34975007479541	3.19862519787531	5.45007330496792	4.20935609680647e-06	0.0050067123020691	4.19660980934219	MYEF2
1.47534886770491	1.05342700516716	5.41031520390676	4.74721979624622e-06	0.0050067123020691	4.08722631562813	GPR27
3.0302494190702	4.77544238635512	5.40918970444968	4.76340576183501e-06	0.0050067123020691	4.08412982285831	CXCL2
3.32989544862483	4.73568706721283	5.38585961524314	5.11160628838753e-06	0.0050067123020691	4.01994447641445	BICC1
