"pathway","pval","padj","overlap","size","overlapGenes","Pathway_Set","Significance"
"HALLMARK_KRAS_SIGNALING_DN",0.000916358000077984,0.035227335136909,12,146,"ADRA2C, C5, CAMK1D, COPZ2, FGFR3, GAMT, GP1BA, IDUA, KCND1, PDK2, PTGFR, THNSL2","Hallmark","Significant"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00140909340547636,0.035227335136909,14,196,"ABCA3, ADCY9, ANXA9, AQP3, FLNB, KCNK5, PDZK1, SLC22A5, SLC2A1, SYBU, SYNGR1, SYT12, THSD4, WWC1","Hallmark","Significant"
"HALLMARK_MYOGENESIS",0.00480431580624613,0.0800719301041022,12,178,"ADCY9, CACNA1H, CHRNB1, DTNA, GAA, ITGA7, KLF5, MAPK12, PPP1R3C, PTP4A3, SPEG, WWTR1","Hallmark","Not Significant"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.00735319231396044,0.089744956561665,12,188,"ABCA3, ANXA9, FGFR3, FLNB, HOMER2, KCNK5, PDZK1, SERPINA1, SERPINA3, SERPINA5, SLC22A5, TRIM29","Hallmark","Not Significant"
"HALLMARK_HYPOXIA",0.0089744956561665,0.089744956561665,12,193,"ANGPTL4, DTNA, GAA, GALK1, INHA, NDST1, PFKFB3, PLAC8, PPP1R3C, RORA, SLC2A1, STC1","Hallmark","Not Significant"
"HALLMARK_ANGIOGENESIS",0.0165667937264153,0.138056614386794,4,35,"CXCL6, SERPINA5, SPP1, STC1","Hallmark","Not Significant"
"HALLMARK_COMPLEMENT",0.020961879367544,0.149727709768171,11,192,"CFB, CXCL1, DGKG, F10, GP1BA, KCNIP3, KLKB1, L3MBTL4, PLA2G4A, SERPINA1, TMPRSS6","Hallmark","Not Significant"
"HALLMARK_COAGULATION",0.0302893136677969,0.18930821042373,8,129,"CFB, CPB2, F10, GP1BA, HPN, KLKB1, SERPINA1, TMPRSS6","Hallmark","Not Significant"
"HALLMARK_APICAL_JUNCTION",0.0454782989431834,0.227391494715917,10,191,"CDH6, CLDN9, CX3CL1, GAMT, NRTN, PARD6G, SIRPA, SPEG, THBS3, TSPAN4","Hallmark","Not Significant"
"HALLMARK_KRAS_SIGNALING_UP",0.0454782989431834,0.227391494715917,10,191,"ANGPTL4, CD37, CFB, ENG, LAT2, NR1H4, PCSK1N, SERPINA3, SNAP25, SPP1","Hallmark","Not Significant"
